Recd;Study;Site ;Species;variable;value;;;;
270;Dev;Assam;dirus;IR/IB;5.128;;;;
268;Dev;Assam;minimus;IR/IB;162.464;;;;
269;Dev;Assam;philippinensis;IR/IB;3.252;;;;
231;Bashar;Bangladesh;annularis;HBI;0.375;;;;
6;Trung;Khoi;annularis;IB/(IB+OB);0.048;;;;
244;Bashar;Bangladesh;baimai;HBI;0.800;;;;
8;Trung;Khoi;philippinensis;IB/(IB+OB);0.057;;;;
232;Bashar;Bangladesh;barbirostris;HBI;0.046;;;;
14;Trung;Na Ang;maculatus;IB/(IB+OB);0.074;;;;
233;Bashar;Bangladesh;jamesii;HBI;0.333;;;;
20;Trung;Na Ang;philippinensis;IB/(IB+OB);0.099;;;;
234;Bashar;Bangladesh;karwari;HBI;0.034;;;;
24;Trung;Khoi;maculatus;IB/(IB+OB);0.107;;;;
235;Bashar;Bangladesh;kochi;HBI;0.000;;;;
26;Trung;Khoi;splendidus;IB/(IB+OB);0.107;;;;
236;Bashar;Bangladesh;maculatus;HBI;0.267;;;;
25;Trung;Lang Nhot;maculatus;IB/(IB+OB);0.107;;;;
237;Bashar;Bangladesh;minimus;HBI;0.436;;;;
28;Trung;Lang Nhot;aconitus;IB/(IB+OB);0.115;;;;
245;Bashar;Bangladesh;nigerrimus;HBI;0.000;;;;
29;Trung;Na Ang;barbirostris;IB/(IB+OB);0.115;;;;
238;Bashar;Bangladesh;pallidus;HBI;0.333;;;;
30;Trung;Cha Ong Chan;barbirostris;IB/(IB+OB);0.123;;;;
239;Bashar;Bangladesh;peditaeniatus;HBI;0.064;;;;
36;Trung;Na Ang;pallidus;IB/(IB+OB);0.138;;;;
240;Bashar;Bangladesh;philippinensis;HBI;0.184;;;;
35;Trung;Village 3;maculatus;IB/(IB+OB);0.138;;;;
241;Bashar;Bangladesh;subpictus;HBI;0.121;;;;
38;Trung;Khoi;jeyporiensis;IB/(IB+OB);0.145;;;;
242;Bashar;Bangladesh;umbrosus;HBI;0.046;;;;
39;Trung;Khoi;sinensis;IB/(IB+OB);0.145;;;;
243;Bashar;Bangladesh;vagus;HBI;0.103;;;;
40;Trung;Khoi;tessellatus;IB/(IB+OB);0.145;;;;
41;Trung;Na Ang;nivipes;IB/(IB+OB);0.153;;;;
79;Trung;Cha Ong Chan;aconitus;OB/OA;0.610;;;;
42;Trung;Cha Ong Chan;maculatus;IB/(IB+OB);0.160;;;;
101;Trung;Cha Ong Chan;barbirostris;OB/OA;1.640;;;;
94;Trung;Cha Ong Chan;barbumbrosus;OB/OA;1.100;;;;
44;Trung;Khoi;aconitus;IB/(IB+OB);0.167;;;;
77;Trung;Cha Ong Chan;jamesii;OB/OA;0.600;;;;
45;Trung;Village 3;pampanai;IB/(IB+OB);0.167;;;;
11;Trung;Cha Ong Chan;karwari;OB/OA;0.080;;;;
46;Trung;Village 3;aconitus;IB/(IB+OB);0.174;;;;
88;Trung;Cha Ong Chan;kochi;OB/OA;0.950;;;;
51;Trung;Khoi;vagus;IB/(IB+OB);0.200;;;;
47;Trung;Cha Ong Chan;maculatus;OB/OA;0.240;;;;
50;Trung;Village 3;splendidus;IB/(IB+OB);0.200;;;;
70;Trung;Cha Ong Chan;minimus;OB/OA;0.470;;;;
52;Trung;Na Ang;umbrosus;IB/(IB+OB);0.206;;;;
33;Trung;Cha Ong Chan;philippinensis;OB/OA;0.160;;;;
103;Trung;Cha Ong Chan;umbrosus;OB/OA;2.500;;;;
179;Bashar;Bangladesh;umbrosus;IB/(IB+OB);0.229;;;;
65;Trung;Cha Ong Chan;vagus;OB/OA;0.420;;;;
294;Trung;Cha Ong Chan;aconitus;IR/(totalB);0.000;;;;
300;Trung;Cha Ong Chan;dirus;IR/(totalB);0.000;;;;
305;Trung;Cha Ong Chan;maculatus;IR/(totalB);0.000;;;;
310;Trung;Cha Ong Chan;minimus;IR/(totalB);0.000;;;;
289;Chatterjee;India1;subpictus;HBI;0.410;;;;
290;Chatterjee;India1;subpictus;Survival per cycle;0.580;;;;
288;Chatterjee;India1;subpictus;gonotrophic cycle;4.000;;;;
285;Dutta;India2;dirus;HBI;0.905;;;;
247;Elyazar;Indonesia;aconitus;HBI;0.087;;;;
256;Elyazar;Indonesia;balabacensis;HBI;0.098;;;;
257;Elyazar;Indonesia;bancroftii;HBI;0.900;;;;
248;Elyazar;Indonesia;barbirostris;HBI;0.118;;;;
258;Elyazar;Indonesia;farauti s.l.;HBI;0.900;;;;
259;Elyazar;Indonesia;flaviirostris;HBI;0.091;;;;
249;Elyazar;Indonesia;kochi;HBI;0.106;;;;
260;Elyazar;Indonesia;koliensis;HBI;0.741;;;;
261;Elyazar;Indonesia;leucosphyrus;HBI;0.990;;;;
250;Elyazar;Indonesia;maculatus;HBI;0.315;;;;
262;Elyazar;Indonesia;nigerrimus;HBI;0.072;;;;
263;Elyazar;Indonesia;punctulatus;HBI;0.798;;;;
251;Elyazar;Indonesia;sinensis;HBI;0.780;;;;
252;Elyazar;Indonesia;subpictus;HBI;0.148;;;;
253;Elyazar;Indonesia;sundaicus;HBI;0.538;;;;
254;Elyazar;Indonesia;tessellatus;HBI;0.104;;;;
255;Elyazar;Indonesia;vagus;HBI;0.454;;;;
227;Gunasekaran;India3;fluviatilis;Pr(IR);0.558;;;;
286;Mahmood;India4;culicifacies;gonotrophic cycle;4.000;;;;
287;Mahmood;India4;stephensi;gonotrophic cycle;4.690;;;;
210;Ndoen;Indonesia2;subpictus;Parous rate;0.880;;;;
54;Trung;Lang Nhot;peditaeniatus;IB/(IB+OB);0.237;;;;
266;Sadanandane;India;annularis;IR/IB;1.412;;;;
318;Sadanandane;India;annularis;IR/IB;4.500;;;;
55;Trung;Village 3;dirus;IB/(IB+OB);0.242;;;;
319;Sadanandane;India;culicifacies;IR/IB;442.667;;;;
56;Trung;Village 3;barbirostris;IB/(IB+OB);0.248;;;;
265;Sadanandane;India;fluviatilis;IR/IB;0.215;;;;
320;Sadanandane;India;fluviatilis;IR/IB;0.720;;;;
57;Trung;Cha Ong Chan;aconitus;IB/(IB+OB);0.254;;;;
321;Sadanandane;India;jamesii;IR/IB;1.000;;;;
58;Trung;Village 3;peditaeniatus;IB/(IB+OB);0.254;;;;
264;Sadanandane;India;jeyporiensis;IR/IB;4.245;;;;
322;Sadanandane;India;jeyporiensis;IR/IB;14.684;;;;
60;Trung;Cha Ong Chan;vagus;IB/(IB+OB);0.259;;;;
323;Sadanandane;India;karwari;IR/IB;0.000;;;;
59;Trung;Khoi;minimus C;IB/(IB+OB);0.259;;;;
267;Sadanandane;India;maculatus;IR/IB;0.079;;;;
324;Sadanandane;India;maculatus;IR/IB;0.250;;;;
61;Trung;Cha Ong Chan;hyrcanus;IB/(IB+OB);0.265;;;;
325;Sadanandane;India;nigerrimus;IR/IB;3.231;;;;
62;Trung;Na Ang;hyrcanus;IB/(IB+OB);0.270;;;;
326;Sadanandane;India;pallidus;IR/IB;2.000;;;;
63;Trung;Na Ang;kochi;IB/(IB+OB);0.270;;;;
327;Sadanandane;India;splendidus;IR/IB;4.235;;;;
67;Trung;Cha Ong Chan;kochi;IB/(IB+OB);0.296;;;;
328;Sadanandane;India;subpictus;IR/IB;379.000;;;;
66;Trung;Lang Nhot;crawfordi;IB/(IB+OB);0.296;;;;
329;Sadanandane;India;tessellatus;IR/IB;0.125;;;;
271;Singh;India5;culicifacies;IR/IB;14.838;;;;
215;Singh;India5;culicifacies;Parous rate;0.614;;;;
273;Singh;India5;fluviatilis;IR/IB;10.429;;;;
272;Singh;India5;subpictus;IR/IB;16.722;;;;
345;Ndoen;Java;aconitus;Parous rate;0.400;;;;
346;Ndoen;Java;vagus;Parous rate;0.380;;;;
68;Trung;Van Duc A;subpictus;IB/(IB+OB);0.310;;;;
15;Trung;Khoi;aconitus;OB/OA;0.090;;;;
72;Trung;Cha Ong Chan;philippinensis;IB/(IB+OB);0.329;;;;
31;Trung;Khoi;annularis;OB/OA;0.150;;;;
75;Trung;Village 3;philippinensis;IB/(IB+OB);0.363;;;;
21;Trung;Khoi;jeyporiensis;OB/OA;0.120;;;;
4;Trung;Khoi;kochi;OB/OA;0.030;;;;
37;Trung;Khoi;kochi;OB/OA;0.170;;;;
76;Trung;Cha Ong Chan;karwari;IB/(IB+OB);0.371;;;;
53;Trung;Khoi;maculatus;OB/OA;0.310;;;;
18;Trung;Khoi;minimus;OB/OA;0.100;;;;
78;Trung;Na Ang;tessellatus;IB/(IB+OB);0.375;;;;
16;Trung;Khoi;minimus C;OB/OA;0.090;;;;
80;Trung;Cha Ong Chan;minimus;IB/(IB+OB);0.383;;;;
34;Trung;Khoi;philippinensis;OB/OA;0.160;;;;
81;Trung;Village 3;sinensis;IB/(IB+OB);0.390;;;;
49;Trung;Khoi;sinensis;OB/OA;0.250;;;;
338;Sadanandane;India;pallidus;IB/(IB+OB);0.400;;;;
83;Trung;Na Ang;sinensis;IB/(IB+OB);0.415;;;;
13;Trung;Khoi;tessellatus;OB/OA;0.080;;;;
84;Trung;Van Duc A;nimpe;IB/(IB+OB);0.429;;;;
2;Trung;Khoi;vagus;OB/OA;0.020;;;;
291;Trung;Khoi;aconitus;IR/(totalB);0.000;;;;
302;Trung;Khoi;maculatus;IR/(totalB);0.020;;;;
307;Trung;Khoi;minimus;IR/(totalB);0.670;;;;
312;Trung;Khoi;minimus C;IR/(totalB);0.150;;;;
118;Charlwood;Koh Kong;barbirostris;Parous rate;0.750;;;;
145;Charlwood;Koh Kong;barbirostris;sac rate;0.000;;;;
135;Charlwood;Koh Kong;sinensis;Parous rate;0.247;;;;
162;Charlwood;Koh Kong;sinensis;sac rate;0.160;;;;
124;Charlwood;Koh Kong;sundaicus;Parous rate;0.292;;;;
151;Charlwood;Koh Kong;sundaicus;sac rate;0.330;;;;
85;Trung;Na Ang;aconitus;IB/(IB+OB);0.448;;;;
1;Trung;Lang Nhot;aconitus;OB/OA;0.010;;;;
86;Trung;Lang Nhot;sinensis;IB/(IB+OB);0.457;;;;
7;Trung;Lang Nhot;crawfordi;OB/OA;0.060;;;;
87;Trung;Van Duc A;sinensis;IB/(IB+OB);0.468;;;;
169;Bashar;Bangladesh;barbirostris;IB/(IB+OB);0.500;;;;
23;Trung;Lang Nhot;maculatus;OB/OA;0.120;;;;
110;Trung;Lang Nhot;minimus;OB/OA;8.100;;;;
89;Trung;Na Ang;dirus;IB/(IB+OB);0.500;;;;
12;Trung;Lang Nhot;peditaeniatus;OB/OA;0.080;;;;
5;Trung;Lang Nhot;philippinensis;OB/OA;0.050;;;;
90;Trung;Village 3;tessellatus;IB/(IB+OB);0.500;;;;
91;Trung;Village 3;vagus;IB/(IB+OB);0.500;;;;
292;Trung;Lang Nhot;aconitus;IR/(totalB);0.000;;;;
298;Trung;Lang Nhot;dirus;IR/(totalB);0.020;;;;
303;Trung;Lang Nhot;maculatus;IR/(totalB);0.004;;;;
308;Trung;Lang Nhot;minimus;IR/(totalB);0.080;;;;
218;Wharton;Malaya;maculatus;Pr(IR);0.030;;;;
114;Charlwood;Mondolkiri;aconitus;Parous rate;0.667;;;;
141;Charlwood;Mondolkiri;aconitus;sac rate;0.830;;;;
117;Charlwood;Mondolkiri;barbirostris;Parous rate;0.833;;;;
144;Charlwood;Mondolkiri;barbirostris;sac rate;0.200;;;;
121;Charlwood;Mondolkiri;dirus;Parous rate;0.580;;;;
148;Charlwood;Mondolkiri;dirus;sac rate;0.340;;;;
126;Charlwood;Mondolkiri;kochi;Parous rate;0.660;;;;
153;Charlwood;Mondolkiri;kochi;sac rate;0.600;;;;
128;Charlwood;Mondolkiri;maculatus;Parous rate;0.600;;;;
155;Charlwood;Mondolkiri;maculatus;sac rate;0.330;;;;
133;Charlwood;Mondolkiri;philippinensis;Parous rate;0.613;;;;
160;Charlwood;Mondolkiri;philippinensis;sac rate;0.680;;;;
136;Charlwood;Mondolkiri;tessellatus;Parous rate;0.200;;;;
163;Charlwood;Mondolkiri;tessellatus;sac rate;0.000;;;;
92;Trung;Van Duc A;tessellatus;IB/(IB+OB);0.505;;;;
106;Trung;Na Ang;aconitus;OB/OA;3.930;;;;
93;Trung;Van Duc A;barbirostris;IB/(IB+OB);0.512;;;;
104;Trung;Na Ang;barbirostris;OB/OA;2.640;;;;
177;Bashar;Bangladesh;philippinensis;IB/(IB+OB);0.551;;;;
95;Trung;Van Duc A;sundaicus;IB/(IB+OB);0.559;;;;
99;Trung;Na Ang;hyrcanus;OB/OA;1.530;;;;
97;Trung;Lang Nhot;dirus;IB/(IB+OB);0.565;;;;
69;Trung;Na Ang;kochi;OB/OA;0.460;;;;
168;Bashar;Bangladesh;annularis;IB/(IB+OB);0.571;;;;
111;Trung;Na Ang;minimus;OB/OA;10.110;;;;
335;Sadanandane;India;karwari;IB/(IB+OB);0.571;;;;
71;Trung;Na Ang;nivipes;OB/OA;0.470;;;;
181;Bashar;Bangladesh;baimai;IB/(IB+OB);0.600;;;;
336;Sadanandane;India;maculatus;IB/(IB+OB);0.610;;;;
102;Trung;Na Ang;philippinensis;OB/OA;2.320;;;;
100;Trung;Lang Nhot;tessellatus;IB/(IB+OB);0.617;;;;
82;Trung;Na Ang;sinensis;OB/OA;0.690;;;;
174;Bashar;Bangladesh;minimus;IB/(IB+OB);0.618;;;;
96;Trung;Na Ang;tessellatus;OB/OA;1.300;;;;
337;Sadanandane;India;nigerrimus;IB/(IB+OB);0.650;;;;
109;Trung;Na Ang;umbrosus;OB/OA;6.670;;;;
10;Trung;Na Ang;vagus;OB/OA;0.070;;;;
295;Trung;Na Ang;aconitus;IR/(totalB);0.030;;;;
301;Trung;Na Ang;dirus;IR/(totalB);0.000;;;;
306;Trung;Na Ang;maculatus;IR/(totalB);0.000;;;;
311;Trung;Na Ang;minimus;IR/(totalB);0.040;;;;
230;nanda;orissa;culicifacies;HBI;0.011;;;;
229;nanda;orissa;fluviatilis;HBI;0.876;;;;
115;Charlwood;Pailin;aconitus;Parous rate;0.595;;;;
142;Charlwood;Pailin;aconitus;sac rate;0.480;;;;
119;Charlwood;Pailin;barbirostris;Parous rate;0.500;;;;
146;Charlwood;Pailin;barbirostris;sac rate;0.140;;;;
122;Charlwood;Pailin;dirus;Parous rate;0.400;;;;
149;Charlwood;Pailin;dirus;sac rate;0.500;;;;
129;Charlwood;Pailin;maculatus;Parous rate;0.526;;;;
156;Charlwood;Pailin;maculatus;sac rate;0.520;;;;
131;Charlwood;Pailin;minimus;Parous rate;0.680;;;;
158;Charlwood;Pailin;minimus;sac rate;0.600;;;;
134;Charlwood;Pailin;philippinensis;Parous rate;0.500;;;;
161;Charlwood;Pailin;philippinensis;sac rate;0.500;;;;
137;Charlwood;Pailin;tessellatus;Parous rate;0.900;;;;
164;Charlwood;Pailin;tessellatus;sac rate;0.780;;;;
139;Charlwood;Pailin;vagus;Parous rate;0.417;;;;
166;Charlwood;Pailin;vagus;sac rate;1.000;;;;
116;Charlwood;Pursat;aconitus;Parous rate;0.758;;;;
143;Charlwood;Pursat;aconitus;sac rate;0.320;;;;
120;Charlwood;Pursat;barbirostris;Parous rate;0.368;;;;
147;Charlwood;Pursat;barbirostris;sac rate;0.290;;;;
123;Charlwood;Pursat;dirus;Parous rate;0.182;;;;
150;Charlwood;Pursat;dirus;sac rate;1.000;;;;
125;Charlwood;Pursat;jamesii;Parous rate;0.743;;;;
152;Charlwood;Pursat;jamesii;sac rate;0.420;;;;
127;Charlwood;Pursat;kochi;Parous rate;0.717;;;;
154;Charlwood;Pursat;kochi;sac rate;0.740;;;;
130;Charlwood;Pursat;maculatus;Parous rate;0.550;;;;
157;Charlwood;Pursat;maculatus;sac rate;0.490;;;;
132;Charlwood;Pursat;minimus;Parous rate;0.778;;;;
159;Charlwood;Pursat;minimus;sac rate;0.480;;;;
138;Charlwood;Pursat;tessellatus;Parous rate;0.250;;;;
165;Charlwood;Pursat;tessellatus;sac rate;0.000;;;;
140;Charlwood;Pursat;vagus;Parous rate;0.920;;;;
167;Charlwood;Pursat;vagus;sac rate;0.390;;;;
274;Gunathilaka;Sri Lanka;aconitus;HBI;0.360;;;;
275;Gunathilaka;Sri Lanka;annularis;HBI;0.070;;;;
276;Gunathilaka;Sri Lanka;barbirostris;HBI;0.270;;;;
277;Gunathilaka;Sri Lanka;barbumbrosus;HBI;0.040;;;;
278;Gunathilaka;Sri Lanka;culicifacies;HBI;0.150;;;;
279;Gunathilaka;Sri Lanka;nigerrimus;HBI;0.000;;;;
280;Gunathilaka;Sri Lanka;pallidus;HBI;0.000;;;;
281;Gunathilaka;Sri Lanka;peditaeniatus;HBI;0.080;;;;
282;Gunathilaka;Sri Lanka;pseudojamesi;HBI;0.040;;;;
283;Gunathilaka;Sri Lanka;subpictus;HBI;0.166;;;;
284;Gunathilaka;Sri Lanka;vagus;HBI;0.000;;;;
225;Ismail;Thailand;balabacensis;Pr(IR);0.037;;;;
219;Ismail;Thailand;minimus;Pr(IR);0.068;;;;
175;Bashar;Bangladesh;pallidus;IB/(IB+OB);0.667;;;;
334;Sadanandane;India;jeyporiensis;IB/(IB+OB);0.704;;;;
113;Trung;Van Duc A;nimpe;OB/OA;23.070;;;;
171;Bashar;Bangladesh;karwari;IB/(IB+OB);0.719;;;;
108;Trung;Van Duc A;sinensis;OB/OA;4.780;;;;
330;Sadanandane;India;annularis;IB/(IB+OB);0.800;;;;
73;Trung;Van Duc A;subpictus;OB/OA;0.550;;;;
341;Sadanandane;India;tessellatus;IB/(IB+OB);0.800;;;;
112;Trung;Van Duc A;sundaicus;OB/OA;11.530;;;;
339;Sadanandane;India;splendidus;IB/(IB+OB);0.810;;;;
107;Trung;Van Duc A;tessellatus;OB/OA;3.960;;;;
297;Trung;Van Duc A;campestris;IR/(totalB);0.000;;;;
313;Trung;Van Duc A;nimpe;IR/(totalB);0.030;;;;
314;Trung;Van Duc A;sinensis;IR/(totalB);0.030;;;;
316;Trung;Van Duc A;subpictus;IR/(totalB);0.150;;;;
317;Trung;Van Duc A;sundaicus;IR/(totalB);0.100;;;;
183;Manh;Vietnam;aconitus;OB/OA;0.135;;;;
184;Manh;Vietnam;annularis;OB/OA;0.089;;;;
185;Manh;Vietnam;barbirostris;OB/OA;0.056;;;;
186;Manh;Vietnam;crawfordi;OB/OA;0.000;;;;
187;Manh;Vietnam;dirus;OB/OA;8.538;;;;
199;Manh;Vietnam;harrisoni;OB/OA;0.076;;;;
188;Manh;Vietnam;jamesii;OB/OA;1.000;;;;
189;Manh;Vietnam;jeyporiensis;OB/OA;0.012;;;;
190;Manh;Vietnam;maculatus;OB/OA;0.325;;;;
191;Manh;Vietnam;minimus;OB/OA;0.357;;;;
192;Manh;Vietnam;nivipes;OB/OA;0.030;;;;
193;Manh;Vietnam;peditaeniatus;OB/OA;0.057;;;;
194;Manh;Vietnam;philippinensis;OB/OA;0.096;;;;
200;Manh;Vietnam;sawadwongporni;OB/OA;0.555;;;;
195;Manh;Vietnam;sinensis;OB/OA;0.396;;;;
226;Van Bortel;Vietnam;sundaicus;Pr(IR);0.573;;;;
196;Manh;Vietnam;tessellatus;OB/OA;1.000;;;;
197;Manh;Vietnam;umbrosus;OB/OA;0.000;;;;
198;Manh;Vietnam;vagus;OB/OA;0.014;;;;
333;Sadanandane;India;jamesii;IB/(IB+OB);0.833;;;;
9;Trung;Village 3;aconitus;OB/OA;0.070;;;;
332;Sadanandane;India;fluviatilis;IB/(IB+OB);0.850;;;;
64;Trung;Village 3;barbirostris;OB/OA;0.380;;;;
176;Bashar;Bangladesh;peditaeniatus;IB/(IB+OB);0.863;;;;
22;Trung;Village 3;karwari;OB/OA;0.120;;;;
173;Bashar;Bangladesh;maculatus;IB/(IB+OB);0.909;;;;
48;Trung;Village 3;maculatus;OB/OA;0.250;;;;
17;Trung;Village 3;nivipes;OB/OA;0.090;;;;
180;Bashar;Bangladesh;vagus;IB/(IB+OB);0.909;;;;
32;Trung;Village 3;pampanai;OB/OA;0.160;;;;
182;Bashar;Bangladesh;nigerrimus;IB/(IB+OB);0.966;;;;
98;Trung;Village 3;peditaeniatus;OB/OA;1.510;;;;
170;Bashar;Bangladesh;jamesii;IB/(IB+OB);1.000;;;;
19;Trung;Village 3;philippinensis;OB/OA;0.100;;;;
172;Bashar;Bangladesh;kochi;IB/(IB+OB);1.000;;;;
105;Trung;Village 3;sinensis;OB/OA;2.830;;;;
178;Bashar;Bangladesh;subpictus;IB/(IB+OB);1.000;;;;
43;Trung;Village 3;splendidus;OB/OA;0.200;;;;
331;Sadanandane;India;culicifacies;IB/(IB+OB);1.000;;;;
74;Trung;Village 3;tessellatus;OB/OA;0.560;;;;
340;Sadanandane;India;subpictus;IB/(IB+OB);1.000;;;;
27;Trung;Village 3;vagus;OB/OA;0.130;;;;
3;Trung;Village 3;varuna;OB/OA;0.020;;;;
293;Trung;Village 4;aconitus;IR/(totalB);0.000;;;;
299;Trung;Village 5;dirus;IR/(totalB);0.000;;;;
304;Trung;Village 6;maculatus;IR/(totalB);0.000;;;;
309;Trung;Village 7;minimus;IR/(totalB);0.000;;;;
342;Ndoen;W. Timor;barbirostris;Parous rate;0.800;;;;
343;Ndoen;W. Timor;subpictus;Parous rate;0.880;;;;
344;Ndoen;W. Timor;vagus;Parous rate;0.870;;;;
296;Trung;;barbirostris;IR/(totalB);0.000;;;;
212;Charlwood;;umbrosus;Parous rate;0.000;;;;
